21:14:52.139 |V| JetEnvironment                | :1                 | JetEnvironment is initiating startup.
21:14:52.148 |V| JetEnvironment                | :1                 | Commencing InitHost phase.
21:14:52.174 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_TEMP_DIR (no PID suffix).
21:14:52.174 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_TEMP_DIR (no PID suffix) has no value.
21:14:52.174 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_TEMP_DIR_PID_00003714 (PID-specific).
21:14:52.174 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_TEMP_DIR_PID_00003714 (PID-specific) has no value.
21:14:52.174 |V| EnvironmentVariablesUtil      | :1                 | No environment variables for additional packages are set.
21:14:52.603 |V| JetHostParametersCaller       | :1                 | <Measured> "Host initialization"  time=431ms
21:14:52.604 |V| JetEnvironment                | :1                 | HostInit phase completed.
21:14:52.604 |V| JetEnvironment                | :1                 | Requesting FullPartCatalogSet.
21:14:52.888 |V| DeployedPackages              | :1                 | Initiating Deployed Package discovery for bindir E:\Shattered-kingdom\Shattered-Kingdom\Library\RiderFlow\2022.1.5.248\Backend~\bin.
21:14:53.008 |V| DeployedPackages              | :1                 | Scanning folder E:\Shattered-kingdom\Shattered-Kingdom\Library\RiderFlow\2022.1.5.248\Backend~\bin for Deployed Packages. Picking nugets? True!
